====================0======================
480	249
465	245
454	242
444	242
437	244
436	247
433	250
427	253
423	255
420	258
420	260
420	261
419	262
422	261
423	261
427	260
430	259
432	258
435	257
443	255
448	255
455	256
462	258
466	261
472	264
475	268
480	272
486	276
491	281
495	287
498	293
498	299
496	304
491	308
487	312
481	316
474	321
468	325
460	328
454	329
445	328
439	325
435	322
434	319
431	318
432	317
432	317
429	317
432	315
430	314
427	313
423	312
423	311
424	311
424	312
422	313
421	313
425	312
429	311
431	311
429	312
431	312
433	312
432	313
431	314
431	315
429	316
429	316
429	316
429	315
426	315
424	315
420	315
418	315
